PING 180.149.145.158 (180.149.145.158) 56(84) bytes of data.
64 bytes from 180.149.145.158: icmp_seq=27 ttl=50 time=52.3 ms
64 bytes from 180.149.145.158: icmp_seq=28 ttl=50 time=50.6 ms
64 bytes from 180.149.145.158: icmp_seq=29 ttl=50 time=49.0 ms
64 bytes from 180.149.145.158: icmp_seq=30 ttl=50 time=37.6 ms
64 bytes from 180.149.145.158: icmp_seq=31 ttl=50 time=47.2 ms
64 bytes from 180.149.145.158: icmp_seq=32 ttl=50 time=40.2 ms
64 bytes from 180.149.145.158: icmp_seq=33 ttl=50 time=28.0 ms
64 bytes from 180.149.145.158: icmp_seq=34 ttl=50 time=26.7 ms
64 bytes from 180.149.145.158: icmp_seq=35 ttl=50 time=40.9 ms
64 bytes from 180.149.145.158: icmp_seq=36 ttl=50 time=29.6 ms
64 bytes from 180.149.145.158: icmp_seq=37 ttl=50 time=38.8 ms
64 bytes from 180.149.145.158: icmp_seq=38 ttl=50 time=27.6 ms
64 bytes from 180.149.145.158: icmp_seq=39 ttl=50 time=35.9 ms
64 bytes from 180.149.145.158: icmp_seq=40 ttl=50 time=33.7 ms
64 bytes from 180.149.145.158: icmp_seq=41 ttl=50 time=32.8 ms
64 bytes from 180.149.145.158: icmp_seq=42 ttl=50 time=45.7 ms
64 bytes from 180.149.145.158: icmp_seq=43 ttl=50 time=28.9 ms
64 bytes from 180.149.145.158: icmp_seq=44 ttl=50 time=42.9 ms
64 bytes from 180.149.145.158: icmp_seq=45 ttl=50 time=35.7 ms
64 bytes from 180.149.145.158: icmp_seq=46 ttl=50 time=64.0 ms
64 bytes from 180.149.145.158: icmp_seq=47 ttl=50 time=27.6 ms
64 bytes from 180.149.145.158: icmp_seq=48 ttl=50 time=37.6 ms
64 bytes from 180.149.145.158: icmp_seq=49 ttl=50 time=28.9 ms
64 bytes from 180.149.145.158: icmp_seq=50 ttl=50 time=34.7 ms
64 bytes from 180.149.145.158: icmp_seq=51 ttl=50 time=30.9 ms
64 bytes from 180.149.145.158: icmp_seq=52 ttl=50 time=30.7 ms
64 bytes from 180.149.145.158: icmp_seq=53 ttl=50 time=27.8 ms
64 bytes from 180.149.145.158: icmp_seq=54 ttl=50 time=26.9 ms
64 bytes from 180.149.145.158: icmp_seq=55 ttl=50 time=29.5 ms
64 bytes from 180.149.145.158: icmp_seq=56 ttl=50 time=27.9 ms
64 bytes from 180.149.145.158: icmp_seq=57 ttl=50 time=26.9 ms
64 bytes from 180.149.145.158: icmp_seq=58 ttl=50 time=40.4 ms
64 bytes from 180.149.145.158: icmp_seq=60 ttl=50 time=64.6 ms
64 bytes from 180.149.145.158: icmp_seq=61 ttl=50 time=62.8 ms
64 bytes from 180.149.145.158: icmp_seq=62 ttl=50 time=25.9 ms
64 bytes from 180.149.145.158: icmp_seq=63 ttl=50 time=59.9 ms
64 bytes from 180.149.145.158: icmp_seq=64 ttl=50 time=58.7 ms
64 bytes from 180.149.145.158: icmp_seq=65 ttl=50 time=41.8 ms
64 bytes from 180.149.145.158: icmp_seq=67 ttl=50 time=51.5 ms
64 bytes from 180.149.145.158: icmp_seq=68 ttl=50 time=29.7 ms
64 bytes from 180.149.145.158: icmp_seq=69 ttl=50 time=62.8 ms
64 bytes from 180.149.145.158: icmp_seq=70 ttl=50 time=41.8 ms
64 bytes from 180.149.145.158: icmp_seq=71 ttl=50 time=60.7 ms
64 bytes from 180.149.145.158: icmp_seq=72 ttl=50 time=57.9 ms
64 bytes from 180.149.145.158: icmp_seq=73 ttl=50 time=141 ms
64 bytes from 180.149.145.158: icmp_seq=74 ttl=50 time=274 ms
64 bytes from 180.149.145.158: icmp_seq=75 ttl=50 time=73.8 ms
64 bytes from 180.149.145.158: icmp_seq=76 ttl=50 time=131 ms
64 bytes from 180.149.145.158: icmp_seq=77 ttl=50 time=71.9 ms
64 bytes from 180.149.145.158: icmp_seq=78 ttl=50 time=29.5 ms
64 bytes from 180.149.145.158: icmp_seq=79 ttl=50 time=29.2 ms
64 bytes from 180.149.145.158: icmp_seq=80 ttl=50 time=27.4 ms
64 bytes from 180.149.145.158: icmp_seq=81 ttl=50 time=29.8 ms
64 bytes from 180.149.145.158: icmp_seq=82 ttl=50 time=42.7 ms
64 bytes from 180.149.145.158: icmp_seq=83 ttl=50 time=27.0 ms
64 bytes from 180.149.145.158: icmp_seq=84 ttl=50 time=30.7 ms
64 bytes from 180.149.145.158: icmp_seq=85 ttl=50 time=38.7 ms
64 bytes from 180.149.145.158: icmp_seq=86 ttl=50 time=26.7 ms
64 bytes from 180.149.145.158: icmp_seq=87 ttl=50 time=35.7 ms
64 bytes from 180.149.145.158: icmp_seq=88 ttl=50 time=27.0 ms
64 bytes from 180.149.145.158: icmp_seq=89 ttl=50 time=31.8 ms
64 bytes from 180.149.145.158: icmp_seq=90 ttl=50 time=29.0 ms
64 bytes from 180.149.145.158: icmp_seq=91 ttl=50 time=27.5 ms
64 bytes from 180.149.145.158: icmp_seq=92 ttl=50 time=30.2 ms
64 bytes from 180.149.145.158: icmp_seq=93 ttl=50 time=29.5 ms
64 bytes from 180.149.145.158: icmp_seq=94 ttl=50 time=27.6 ms
64 bytes from 180.149.145.158: icmp_seq=95 ttl=50 time=25.7 ms
64 bytes from 180.149.145.158: icmp_seq=96 ttl=50 time=34.9 ms
64 bytes from 180.149.145.158: icmp_seq=97 ttl=50 time=27.8 ms
64 bytes from 180.149.145.158: icmp_seq=98 ttl=50 time=32.0 ms
64 bytes from 180.149.145.158: icmp_seq=99 ttl=50 time=39.8 ms

--- 180.149.145.158 ping statistics ---
100 packets transmitted, 97 received, 3% packet loss, time 99163ms
rtt min/avg/max/mdev = 25.793/42.098/274.211/30.210 ms
